"major1","Gender","GPA.Range","year.x","survey_city","survey_company","survey_deptfunc","survey_offers","survey_plans","survey_pref_field","survey_pref_loc","survey_salary","survey_state","latitude","longitude","survey_company_cluster_name"
"Marketing","Female","3.00 - 3.49","2021","losangeles","vivid resourcing",NA,"2","accepted fulltime job","Yes","Yes",60000,"California","-8.4569081","-77.2970344","vivid resourcing"
"Marketing","Female","3.50 - 4.00","2020","louisville","parker hannifin","Logistics / Supply Chain","1","accepted fulltime job","Yes","Yes",62000,"Kentucky","38.2542376","-85.759407","parker hannifin"
"Finance","Male","3.00 - 3.49","2020","akron","goodyear tire & rubber company","Accounting Finance","2","accepted fulltime job","Yes","Yes",62700,"Ohio","41.083064","-81.518485","goodyear tire & rubber co."
"Finance","Male","3.00 - 3.49","2019","columbus","jp morgan chase",NA,"1","accepted fulltime job","Yes",NA,70000,"Ohio","39.9622601","-83.0007065","jp morgan"
"Finance","Male","3.50 - 4.00","2019","findlay","marathon petroleum corp",NA,"3","accepted fulltime job","Yes",NA,63000,"Ohio","41.0413873","-83.6503982","marathon petroleum corporation"
"Accountancy","Female","3.50 - 4.00","2019","pittsburgh","deloitte","Accounting","1","accepted fulltime job","Yes","Yes",49000,"Pennsylvania","40.4416941","-79.9900861","deloitte"
"Finance","Male","3.00 - 3.49","2020","newyorkcity","global x","Finance Marketing / Sales","1","accepted fulltime job","Yes","Yes",45000,"New York","34.6732303","-1.9146444","global atlantic financial group"
"Supply Chain & Operations Mgmt","Male","3.00 - 3.49","2021","chicago","real chemistry",NA,NA,"accepted parttime job","Yes","Yes",NA,"Illinois","41.8755616","-87.6244212","realync"
"Finance","Male","3.50 - 4.00","2021","bocaraton","quicken loans","Marketing / Sales","1","accepted fulltime job","No","Yes",NA,"Florida",NA,NA,"quicken loans"
"Finance","Female","3.50 - 4.00","2020","mason","luxottica","Accounting Finance","2","accepted fulltime job","Yes","Yes",60000,"Ohio","30.705029","-99.2233284","luxottica"
"Business Analytics","Female","3.00 - 3.49","2021","biloxi","united states air force","Analytics General Management Operations / Procurement","1","accepted fulltime job","Yes","Yes",56000,"Mississippi","30.4007626","-88.8893818","unlimited systems"
"Finance","Male","3.00 - 3.49","2021","cleveland","keybank","Finance Marketing / Sales","1","accepted fulltime job","Yes","Yes",65000,"Ohio","41.4996562","-81.6936813","keybanc capital markets"
"Accountancy","Male","3.00 - 3.49","2019","dayton","f&w properties","Accounting
 Finance
 Marketing / Sales","1","accepted fulltime job","Yes","No",30000,"Ohio","39.7589478","-84.1916069","f&w properties"
"Marketing","Female","2.50 - 2.99","2019","chicago","arrive logistics",NA,NA,"accepted fulltime job",NA,NA,42000,"Illinois","41.8755616","-87.6244212","arrive logistics"
"Accountancy","Male","3.50 - 4.00","2021","toledo","pwc","Accounting","1","accepted fulltime job","Yes","Yes",54000,"Ohio","39.8560679","-4.0239568","pwc"
"Human Capital Mgmt& Leadership","Male","2.50 - 2.99","2020",NA,"infineon",NA,"0","accepted fulltime job",NA,NA,NA,NA,NA,NA,"infineon"
"Finance","Male","3.50 - 4.00","2020","newyorkcity","west monroe partners","Analytics Consulting Finance General Management Information Technology","1","accepted fulltime job","Yes","Yes",80500,"New York","34.6732303","-1.9146444","west monroe partners"
"Marketing","Female","3.50 - 4.00","2019","chicago","the nielsen company","Analytics
 Marketing / Sales","1","accepted fulltime job","Yes","Yes",58000,NA,"41.8755616","-87.6244212","the home depot"
"Finance","Male","3.00 - 3.49","2021","avonlake","avient (formerly polyone)","Finance","1","accepted fulltime job","Yes","Yes",59000,"Ohio",NA,NA,"avient (formerly polyone)"
"Finance","Male","3.00 - 3.49","2019","chicago","ernst & young","Consulting","1","accepted fulltime job","Yes","Yes",63000,"Illinois","41.8755616","-87.6244212","ernst & young"
"Marketing","Male","3.00 - 3.49","2019","chicago","cdw","Marketing/Sales",NA,"accepted fulltime job","Yes","Yes",30000,"Illinois","41.8755616","-87.6244212","cdw"
"Finance","Male","3.50 - 4.00","2021","chicago","crowe llp","Analytics Consulting","1","accepted fulltime job","Yes","Yes",69000,"Illinois","41.8755616","-87.6244212","crowe"
"Accountancy","Male","3.00 - 3.49","2020","chicago","rsm","Accounting","2","accepted fulltime job","Yes","Yes",62500,"Illinois","41.8755616","-87.6244212","rsm"
"Finance","Male","3.00 - 3.49","2020",NA,"stanley black & decker",NA,NA,"accepted fulltime job",NA,NA,NA,"Connecticut",NA,NA,"stanley steamer"
"Finance","Male","3.00 - 3.49","2019","atlanta","northwestern mutual","Finance","2","accepted fulltime job","Yes","Yes",NA,"Georgia","33.7489924","-84.3902644","northwestern mutual"
"Accountancy","Male","3.50 - 4.00","2020","indianapolis","pwc","Accounting","1","accepted fulltime job","Yes","Yes",52000,"Indiana","39.7683331","-86.1583502","pwc"
"Accountancy","Male","3.50 - 4.00","2020","toledo","ey","Accounting","1","accepted fulltime job","Yes","Yes",54000,"Ohio","39.8560679","-4.0239568","ey"
"Accountancy","Female","3.50 - 4.00","2020","cincinnati","deloitte","Accounting","2","accepted fulltime job","Yes","Yes",52000,"Ohio","39.1014537","-84.5124602","deloitte"
"Entrepreneurship","Female","3.50 - 4.00","2021","indianapolis","jobvite","Advertising / Public Relations General Management Human Resources Marketing / Sales Other:","1","accepted fulltime job","Yes","Yes",50000,"Indiana","39.7683331","-86.1583502","jobvite"
"Finance","Male","3.00 - 3.49","2020","newport","divisions maintenance group","Marketing/Sales",NA,"accepted fulltime job","No","Yes",40000,"Kentucky","41.4899827","-71.3137707","divisions maintenance group"
"Finance","Female","3.00 - 3.49","2019","pittsburgh","bill few associates","Consulting
 Finance","1","accepted fulltime job","Yes","Yes",45000,NA,"40.4416941","-79.9900861","bill few associates"
"Finance","Male","3.50 - 4.00","2019","sanfrancisco","metrus energy",NA,NA,"accepted fulltime job",NA,NA,NA,"California","-0.248906","-78.5173812","impetus consulting group"
"Management and Leadership","Male","3.00 - 3.49","2020","chicago","ey",NA,NA,"accepted fulltime job",NA,NA,67000,"Illinois","41.8755616","-87.6244212","ey"
"Accountancy","Male","3.00 - 3.49","2021","chicago","ey","Accounting Consulting Finance","1","accepted fulltime job","Yes","Yes",68000,"Illinois","41.8755616","-87.6244212","ey"
"Finance","Female","3.00 - 3.49","2019","chicago","td ameritrade",NA,"2","accepted fulltime job","Yes",NA,75000,"Illinois","41.8755616","-87.6244212","td ameritrade"
"Marketing","Male","2.50 - 2.99","2021","coloradosprings","united states air force","Finance","1","accepted fulltime job","Yes","Yes",40000,"Colorado",NA,NA,"unlimited systems"
"Marketing","Female","3.00 - 3.49","2020","dublin","kappa kappa gamma hq","Other: Administrative","1","accepted fulltime job","No","Yes",37500,"Ohio","53.3497645","-6.2602732","kappa kappa gamma hq"
"Finance","Male","3.00 - 3.49","2019","washington","brailsford & dunlavey",NA,"1","accepted fulltime job","Yes",NA,60000,NA,"38.8950368","-77.0365427","brailsford & dunlavey"
"Supply Chain & Operations Mgmt","Female","3.50 - 4.00","2019","nashville","lifeway","Logistics/Supply Chain",NA,"accepted fulltime job","Yes","Yes",NA,"Tennessee","36.1622767","-86.7742984","lifeway"
"Marketing","Male","3.00 - 3.49","2019","cincinnati","cbt company","Marketing / Sales","1","accepted fulltime job","Yes","Yes",40000,"Ohio","39.1014537","-84.5124602","cbt company"
"Finance","Male","3.50 - 4.00","2019",NA,"etainpower",NA,"0","accepted parttime job",NA,NA,NA,NA,NA,NA,"etainpower"
"Marketing","Female","3.00 - 3.49","2019","chicago","ankura","Analytics
 Consulting","0","accepted fulltime job","Yes","Yes",73000,NA,"41.8755616","-87.6244212","ankura"
"Marketing","Female","3.00 - 3.49","2019","cincinnati","ahalogy","Marketing / Sales","1","accepted fulltime job","Yes","Yes",45000,NA,"39.1014537","-84.5124602","ahalogy"
"Supply Chain & Operations Mgmt","Female","3.50 - 4.00","2019","columbus","honda of america",NA,NA,"accepted fulltime job",NA,NA,54900,"Ohio","39.9622601","-83.0007065","honda of america manufacturing"
"Finance","Female","3.00 - 3.49","2021","westlake","charles schwab",NA,NA,"accepted fulltime job",NA,NA,55000,"Texas","32.991226","-97.1943701","charles schwab"
"Accountancy","Male","3.50 - 4.00","2021","columbus","crowe llp","IT Assurance / IT Audit","1","accepted fulltime job","Yes","Yes",63000,"Ohio","39.9622601","-83.0007065","crowe"
"Finance","Male","3.00 - 3.49","2021","columbus","ey","Consulting","4","accepted fulltime job","Yes","Yes",56000,"Ohio","39.9622601","-83.0007065","ey"
"Marketing","Female","3.00 - 3.49","2021","cincinnati","radius","Marketing / Sales","3","accepted fulltime job","Yes","Yes",45000,"Ohio","39.1014537","-84.5124602","radius"
"Information Systems","Female","3.50 - 4.00","2021","chicago","fti consulting",NA,NA,"accepted fulltime job","Yes","Yes",77000,"Illinois","41.8755616","-87.6244212","fti consulting"
"Information Systems","Female","3.00 - 3.49","2020","cincinnati","fis (formerly worldpay)","Analytics Finance Information Technology","2","accepted fulltime job","Yes","Yes",55000,"Ohio","39.1014537","-84.5124602","fis"
"Marketing","Male","3.50 - 4.00","2020","cincinnati","deanhouston+","Analytics Marketing / Sales","0","accepted parttime job","Yes","Yes",31200,"Ohio","39.1014537","-84.5124602","deanhouston+"
"Accountancy","Male","3.00 - 3.49","2021","detroit","pwc","Accounting","1","accepted fulltime job","Yes","Yes",55000,"Michigan","42.3315509","-83.0466403","pwc"
"Marketing","Female","3.50 - 4.00","2021","boston","oracle","Marketing / Sales","2","accepted fulltime job","Yes","Yes",50000,"Massachusetts","42.3602534","-71.0582912","oracle netsuite"
"Finance","Female","3.50 - 4.00","2020","columbus","jp morgan chase","Analytics Finance","7","accepted fulltime job","Yes","Yes",53000,"Ohio","39.9622601","-83.0007065","jp morgan"
"Accountancy","Male","3.50 - 4.00","2021","chicago","ey","Accounting","3","accepted fulltime job","Yes","Yes",62000,"Illinois","41.8755616","-87.6244212","ey"
"Finance","Male","3.50 - 4.00","2021","chicago","brown gibbons lang & company","Accounting Finance","1","accepted fulltime job","Yes","Yes",75000,"Illinois","41.8755616","-87.6244212","brown gibbons lang & company"
"Finance","Male","3.00 - 3.49","2020","troy","pnc financial services","Finance","2","accepted fulltime job","Yes","No",60000,"Michigan","39.957373950000004","26.238017461011644","pnc financial services"
"Finance","Female","3.50 - 4.00","2020","chicago","oracle netsuite","Consulting Marketing / Sales","2","accepted fulltime job","Yes","Yes",50000,"Illinois","41.8755616","-87.6244212","oracle netsuite"
"Accountancy","Female","3.50 - 4.00","2021","newyorkcity","deloitte","Accounting","1","accepted fulltime job","Yes","Yes",70000,"New York","34.6732303","-1.9146444","deloitte"
"Marketing","Female","3.50 - 4.00","2021","chicago","abbvie",NA,"2","accepted fulltime job","Yes","Yes",48000,"Illinois","41.8755616","-87.6244212","abbvie"
"Business Economics","Female","3.00 - 3.49","2019","chicago","card connect","Marketing/Sales","2","accepted fulltime job","Yes","Yes",60000,"Illinois","41.8755616","-87.6244212","cardinal health"
"Supply Chain & Operations Mgmt","Male","2.50 - 2.99","2019","dayton","united states department of defense","Logistics / Supply Chain","1","accepted fulltime job","Yes","Yes",45000,NA,"39.7589478","-84.1916069","unlimited systems"
"Marketing","Female","3.00 - 3.49","2019","chicago","otis elevator","Marketing/Sales","2","accepted fulltime job","Yes","Yes",52500,"Illinois","41.8755616","-87.6244212","otis elevator"
"Finance","Male","3.50 - 4.00","2021","neworleans","textron","Finance","1","accepted fulltime job","Yes","Yes",69000,"Louisiana",NA,NA,"textron specialized vehicles"
"Accountancy","Male","3.50 - 4.00","2021","cleveland","keybank","Accounting IT Assurance / IT Audit","1","accepted fulltime job","Yes","Yes",55000,"Ohio","41.4996562","-81.6936813","keybanc capital markets"
"Business Economics","Male","3.00 - 3.49","2019","dover","block key capital",NA,NA,"accepted fulltime job",NA,NA,NA,NA,"51.1251275","1.3134228","flock freight"
"Accountancy","Female","3.50 - 4.00","2019","chicago","ernst and young","Accounting","1","accepted fulltime job","Yes","Yes",61000,NA,"41.8755616","-87.6244212","ernst & young"
"Finance","Male","3.00 - 3.49","2021","seattle","amazon","Finance","1","accepted fulltime job","Yes","Yes",63000,"Washington","47.6038321","-122.3300624","amazon"
"Accountancy","Male","3.50 - 4.00","2019","chicago","protiviti","Consulting
 Information Technology","1","accepted fulltime job","Yes","Yes",65000,NA,"41.8755616","-87.6244212","protiviti"
"Marketing","Male","3.00 - 3.49","2021","millington","verizon",NA,NA,"accepted fulltime job",NA,NA,NA,"New Jersey","35.3414745","-89.8973084","verizon"
"Supply Chain & Operations Mgmt","Male","3.00 - 3.49","2021","naperville","kehe distributors","Logistics / Supply Chain Marketing / Sales","2","accepted fulltime job","Yes","Yes",55000,"Illinois","41.7728699","-88.1479278","kehe distributors"
"Accountancy","Female","3.00 - 3.49","2020","chicago","deloitte","Accounting","1","accepted fulltime job","Yes","Yes",62000,"Illinois","41.8755616","-87.6244212","deloitte"
"Accountancy","Female","3.50 - 4.00","2019","newyorkcity","ey","Accounting","1","accepted fulltime job","Yes","Yes",60000,"New York","34.6732303","-1.9146444","ey"
"Accountancy","Male","3.00 - 3.49","2019","cleveland","ey","Accounting
 Finance","4","accepted fulltime job","Yes","Yes",51000,"Ohio","41.4996562","-81.6936813","ey"
"Accountancy","Male","3.00 - 3.49","2019","cleveland","ey","IT Assurance/IT Audit","2","accepted fulltime job",NA,NA,57000,"Ohio","41.4996562","-81.6936813","ey"
"Marketing","Female","3.50 - 4.00","2021","columbus","abercrombie & fitch",NA,NA,"accepted fulltime job","Yes","No",62500,"Ohio","39.9622601","-83.0007065","abercrombie & fitch"
"Accountancy","Male","3.00 - 3.49","2020","denver","deloitte","Accounting","1","accepted fulltime job","Yes","Yes",55000,"Colorado","39.7392364","-104.9848623","deloitte"
"Finance","Female","3.00 - 3.49","2019","cleveland","pnc bank","Finance","1","accepted fulltime job","Yes","Yes",60000,"Ohio","41.4996562","-81.6936813","pnc financial services"
"Finance","Male","3.00 - 3.49","2019","toledo","owens corning",NA,"2","accepted fulltime job","Yes",NA,65000,"Ohio","39.8560679","-4.0239568","owens corning"
"Marketing","Female","3.50 - 4.00","2021","pittsburgh","dick's sporting goods","Marketing / Sales","1","accepted fulltime job","Yes","Yes",52000,"Pennsylvania","40.4416941","-79.9900861","dick's sporting goods"
"Marketing","Male","3.00 - 3.49","2019",NA,"news america marketing","Marketing/Sales","2","accepted fulltime job","Yes","Yes",50000,NA,NA,NA,"news america marketing"
"Accountancy","Female","3.50 - 4.00","2020","minneapolis","kpmg","Accounting","1","accepted fulltime job","Yes","Yes",56000,"Minnesota","44.9772995","-93.2654692","kpmg"
"Finance","Female","2.00 - 2.49","2021","columbus","american electric power","Finance","4","accepted fulltime job","Yes","Yes",56000,"Ohio","39.9622601","-83.0007065","american eagle outfitters"
"Accountancy","Male","3.50 - 4.00","2020","chicago","plante moran","Accounting","1","accepted fulltime job","Yes","Yes",62000,"Illinois","41.8755616","-87.6244212","plante moran"
"Marketing","Female","3.00 - 3.49","2019","chicago","news america marketing","Marketing / Sales",NA,"accepted fulltime job","Yes","Yes",50000,"Illinois","41.8755616","-87.6244212","news america marketing"
"Finance","Female","3.00 - 3.49","2020","columbus","jp morgan chase",NA,NA,"accepted fulltime job",NA,NA,60000,"Ohio","39.9622601","-83.0007065","jp morgan"
"Accountancy","Male","3.00 - 3.49","2020","cleveland","ey","Accounting","1","accepted fulltime job","Yes","Yes",52000,"Ohio","41.4996562","-81.6936813","ey"
"Information Systems","Male","3.00 - 3.49","2020","cleveland","pwc","Accounting IT Assurance / IT Audit Information Technology","2","accepted fulltime job","Yes","Yes",55000,"Ohio","41.4996562","-81.6936813","pwc"
"Accountancy","Male","3.50 - 4.00","2020","chicago","protiviti","Accounting Consulting Finance IT Assurance / IT Audit","1","accepted fulltime job","Yes","Yes",65000,"Illinois","41.8755616","-87.6244212","protiviti"
"Marketing","Female","3.00 - 3.49","2019","denver","insight global","Marketing / Sales","1","accepted fulltime job","Yes","Yes",56000,NA,"39.7392364","-104.9848623","insight2profit"
"Finance","Female","3.00 - 3.49","2019","loveland","worldpay/fidelity investment","Finance","2","accepted fulltime job","Yes","Yes",55000,NA,"40.385549","-105.04436132094955","worldpay/fidelity investment"
"Marketing","Female","2.50 - 2.99","2019","chicago","insight global","Marketing / Sales","2","accepted fulltime job","Yes","Yes",40000,NA,"41.8755616","-87.6244212","insight2profit"
"Marketing","Female","3.00 - 3.49","2020","boston","e. & j. gallo winery","Marketing / Sales","1","accepted fulltime job","Yes","Yes",60000,"Massachusetts","42.3602534","-71.0582912","e. & j. gallo winery"
"Finance","Female","3.00 - 3.49","2019","chicago","jp morgan chase","Finance",NA,"accepted fulltime job","Yes","Yes",55000,"Illinois","41.8755616","-87.6244212","jp morgan"
"Marketing","Male","3.00 - 3.49","2019",NA,"hockey",NA,"0","other",NA,NA,NA,NA,NA,NA,"hockey"
"Marketing","Female","3.50 - 4.00","2020","chicago","gohealth","Other: Strategy","1","accepted fulltime job","Yes","Yes",65000,"Illinois","41.8755616","-87.6244212","gohealth"
"Marketing","Female","3.50 - 4.00","2020","cincinnati","84.51º","Analytics Consulting","1","accepted fulltime job","Yes","Yes",65000,"Ohio","39.1014537","-84.5124602","84.51"
"Finance","Male","3.00 - 3.49","2020","cleveland","keybank","Finance","1","accepted fulltime job","Yes","Yes",60000,"Ohio","41.4996562","-81.6936813","keybanc capital markets"
"Finance","Male","3.50 - 4.00","2021","dublin","cardinal health","Finance","2","accepted fulltime job","Yes","No",NA,"Ohio","53.3497645","-6.2602732","cardinal health"
"Marketing","Female","3.50 - 4.00","2021","columbus","abercrombie & fitch",NA,"1","accepted fulltime job","Yes","Yes",35360,"Ohio","39.9622601","-83.0007065","abercrombie & fitch"
"Finance","Male","3.50 - 4.00","2021","houston","chubb insurance","Finance Other: Underwriting","1","accepted fulltime job","Yes","Yes",58000,"Texas","29.7589382","-95.3676974","chubb insurance"
"Finance","Male","3.00 - 3.49","2019","redmond","microsoft corp",NA,"1","accepted fulltime job","Yes",NA,84000,"Washington","47.6694141","-122.1238767","microsoft"
"Marketing","Male","3.00 - 3.49","2019","dayton","pepsico","Marketing / Sales","3","accepted fulltime job","Yes","Yes",62000,NA,"39.7589478","-84.1916069","pepsico"
"Finance","Male","3.00 - 3.49","2019","chicago","insight2profit","Consulting
 Finance","2","accepted fulltime job","Yes","Yes",63800,"Ohio","41.8755616","-87.6244212","insight2profit"
"Finance","Male","3.00 - 3.49","2019","novelty","stout risius ross","Finance","2","accepted fulltime job","Yes","Yes",63000,"Ohio","40.0125389","-92.2082381","stout risius ross"
"Marketing","Male","2.50 - 2.99","2020","chicago","echo global logistics",NA,NA,"accepted fulltime job",NA,NA,NA,"Illinois","41.8755616","-87.6244212","echo logistics"
"Finance","Male","3.00 - 3.49","2019","cincinnati","cengage",NA,NA,"accepted fulltime job",NA,NA,50000,"Ohio","39.1014537","-84.5124602","cengage learning"
"Supply Chain & Operations Mgmt","Male","3.50 - 4.00","2020","cleveland","keybank","Logistics / Supply Chain Information Technology Operations / Procurement","1","accepted fulltime job","Yes","Yes",60000,"Ohio","41.4996562","-81.6936813","keybanc capital markets"
"Finance","Male","3.00 - 3.49","2020","chicago","aig","Analytics Other: Risk","2","accepted fulltime job","Yes","Yes",62000,"Illinois","41.8755616","-87.6244212","aig"
"Accountancy","Female","3.50 - 4.00","2019","cincinnati","pricewaterhousecoopers","Accounting","2","accepted fulltime job","Yes","Yes",52000,"Ohio","39.1014537","-84.5124602","pricewaterhouse coopers"
"Human Capital Mgmt& Leadership","Female","3.50 - 4.00","2021","chicago","collaborative solutions","Consulting Human Resources","1","accepted fulltime job","Yes","Yes",65000,"Illinois","41.8755616","-87.6244212","collaborative solutions"
"Finance","Male","3.50 - 4.00","2021",NA,"sherwin-williams",NA,"1","accepted fulltime job","Yes","Yes",52000,NA,NA,NA,"sherwin-williams"
"Finance","Male","3.00 - 3.49","2020","chicago","crowe llp",NA,NA,"accepted fulltime job",NA,NA,63000,"Illinois","41.8755616","-87.6244212","crowe"
"Business Economics","Male","3.50 - 4.00","2020","columbus","ey","Consulting Finance General Management Marketing / Sales Operations / Procurement","4","accepted fulltime job","Yes","Yes",56000,"Ohio","39.9622601","-83.0007065","ey"
"Supply Chain & Operations Mgmt","Male","3.00 - 3.49","2019","marysville","honda manufacturing of america","Operations / Procurement","4","accepted fulltime job","Yes","Yes",54900,"Ohio","48.0517429","-122.1768209","honda of america manufacturing"
"Finance","Male","3.50 - 4.00","2019","milwaukee","fis global","Marketing/Sales","1","accepted fulltime job","Yes","Yes",50000,"Wisconsin","43.0349931","-87.922497","fis"
"Accountancy","Male","3.50 - 4.00","2021","columbus","deloitte","Accounting","2","accepted fulltime job","Yes","Yes",56000,"Ohio","39.9622601","-83.0007065","deloitte"
"Accountancy","Female","3.50 - 4.00","2019","chicago","ernst and young","Accounting","1","accepted fulltime job","Yes","Yes",61000,"Illinois","41.8755616","-87.6244212","ernst & young"
"Marketing","Female","3.00 - 3.49","2020","columbus","aerotek",NA,NA,"accepted fulltime job",NA,NA,NA,"Ohio","39.9622601","-83.0007065","aerotek"
"Supply Chain & Operations Mgmt","Female","3.50 - 4.00","2021","cincinnati","procter & gamble","Logistics / Supply Chain","1","accepted fulltime job","Yes","No",70000,"Ohio","39.1014537","-84.5124602","procter & gamble"
"Accountancy","Male","3.00 - 3.49","2021","cincinnati","deloitte llp","Accounting Consulting Finance IT Assurance / IT Audit Information Technology","1","accepted fulltime job","Yes","Yes",58000,"Ohio","39.1014537","-84.5124602","deloitte"
"Information Systems","Male","2.50 - 2.99","2019","denver","n/a","Analytics
 Finance","2","accepted fulltime job","Yes","Yes",65000,"Colorado","39.7392364","-104.9848623","n/a"
"Accountancy","Male","3.50 - 4.00","2021","columbus","kpmg","Accounting","1","accepted fulltime job","Yes","Yes",54000,"Ohio","39.9622601","-83.0007065","kpmg"
"Business Economics","Female","3.00 - 3.49","2020","cincinnati","procter & gamble",NA,"1","accepted fulltime job",NA,NA,70000,"Ohio","39.1014537","-84.5124602","procter & gamble"
"Business Analytics","Male","3.50 - 4.00","2021","cleveland","insight2profit","Analytics Consulting","4","accepted fulltime job","Yes","Yes",58000,"Ohio","41.4996562","-81.6936813","insight2profit"
"Accountancy","Female","3.50 - 4.00","2019","fairfield","the cincinnati insurance companies",NA,NA,"accepted fulltime job",NA,NA,45000,"Ohio","38.2493581","-122.039966","the home depot"
"Supply Chain & Operations Mgmt","Male","3.50 - 4.00","2019","solon","swagelok","Logistics / Supply Chain","1","accepted fulltime job","Yes","Yes",53500,"Ohio","41.8072344","-91.4940604","swagelok company"
"Information Systems","Male","3.50 - 4.00","2019",NA,"farm credit mid america","Marketing/Sales","2","accepted fulltime job","No","Yes",51000,"Ohio",NA,NA,"farmer"
"Finance","Male","2.50 - 2.99","2021","chicago","jp morgan","Finance","2","accepted fulltime job","Yes","Yes",68000,"Illinois","41.8755616","-87.6244212","jp morgan"
"Accountancy","Male","3.50 - 4.00","2019","cincinnati","deloitte","Accounting","1","accepted fulltime job","Yes","Yes",52500,NA,"39.1014537","-84.5124602","deloitte"
"Management and Leadership","Male","3.00 - 3.49","2019","chicago","kellymitchell","General Management
 Information Technology","3","accepted fulltime job","Yes","Yes",NA,NA,"41.8755616","-87.6244212","kellymitchell group"
"Finance","Female","3.50 - 4.00","2021","chicago","william blair","Finance","1","accepted fulltime job","Yes","Yes",80000,"Illinois","41.8755616","-87.6244212","william blair & company"
"Marketing","Female","3.50 - 4.00","2021","remote","nolia roots","Marketing / Sales","2","accepted fulltime job","Yes","Yes",38000,"Ohio","43.0059455","-123.8925908","nolia roots"
"Business Economics","Male","3.50 - 4.00","2021","newyorkcity","pwc","Finance","1","accepted fulltime job","Yes","Yes",85000,"New York","34.6732303","-1.9146444","pwc"
"Finance","Male","3.50 - 4.00","2019","cincinnati","ey","Accounting
 Consulting
 Finance
 IT Assurance / IT Audit","4","accepted fulltime job","Yes","Yes",52500,NA,"39.1014537","-84.5124602","ey"
"Finance","Male","3.00 - 3.49","2020","cleveland","sherwin-williams","Accounting Finance","2","accepted fulltime job","Yes","Yes",52349,"Ohio","41.4996562","-81.6936813","sherwin-williams"
"Human Capital Mgmt& Leadership","Female","3.50 - 4.00","2021","chicago","ey","Consulting Human Resources","2","accepted fulltime job","Yes","Yes",70000,"Illinois","41.8755616","-87.6244212","ey"
"Accountancy","Female","3.00 - 3.49","2019","columbus","crowe","Accounting","1","accepted fulltime job","Yes","Yes",54500,NA,"39.9622601","-83.0007065","crowe"
"Supply Chain & Operations Mgmt","Male","3.00 - 3.49","2019","fortworth","bell","Analytics
 Logistics / Supply Chain","1","accepted fulltime job","Yes","Yes",55000,NA,"14.8686995","120.8287204","bell"
"Finance","Male","3.50 - 4.00","2019","northbrook","ul llc",NA,"2","accepted fulltime job","Yes",NA,60000,"Illinois","42.128704","-87.8265089","ul llc"
"Accountancy","Male","3.50 - 4.00","2021","columbus","kpmg","Accounting","1","accepted fulltime job","Yes","Yes",73000,"Ohio","39.9622601","-83.0007065","kpmg"
"Finance","Male","3.50 - 4.00","2019","newyorkcity","jp morgan","Finance","5","accepted fulltime job","Yes","Yes",85000,"New York","34.6732303","-1.9146444","jp morgan"
"Business Analytics","Female","3.50 - 4.00","2021","denver","deloitte","Analytics Consulting IT Assurance / IT Audit","1","accepted fulltime job","Yes","Yes",75000,"Colorado","39.7392364","-104.9848623","deloitte"
"Marketing","Female","3.50 - 4.00","2019","chicago","collaborative solutions","Human Resources",NA,"accepted fulltime job","Yes","Yes",58000,"Illinois","41.8755616","-87.6244212","collaborative solutions"
"Finance","Male","3.50 - 4.00","2020","chicago","associated bank","Finance","1","accepted fulltime job","Yes","Yes",60000,"Illinois","41.8755616","-87.6244212","associated bank"
"Information Systems","Male","3.50 - 4.00","2020","columbus","big lots stores",NA,"0","accepted fulltime job",NA,NA,NA,"Ohio","39.9622601","-83.0007065","big lots stores"
"Marketing","Male","3.00 - 3.49","2021","cincinnati","seventh generation","Marketing / Sales","2","accepted fulltime job","Yes","No",48000,"Ohio","39.1014537","-84.5124602","seventh generation"
"Marketing","Male","2.50 - 2.99","2021","chicago","the morey corporation",NA,NA,"accepted fulltime job",NA,NA,NA,"Illinois","41.8755616","-87.6244212","the home depot"
"Supply Chain & Operations Mgmt","Female","3.00 - 3.49","2021","columbus","dhl supply chain","Logistics / Supply Chain Operations / Procurement","1","accepted fulltime job","Yes","Yes",55000,"Ohio","39.9622601","-83.0007065","dhl"
"Business Economics","Male","3.50 - 4.00","2021","stpetersburg","raymond james",NA,NA,"accepted fulltime job",NA,NA,NA,"Florida",NA,NA,"raymond james"
"Marketing","Female","3.50 - 4.00","2019","columbus","covermymeds","Information Technology","1","accepted fulltime job","No","Yes",37000,NA,"39.9622601","-83.0007065","covermymeds"
"Finance","Male","3.50 - 4.00","2019","newalbany","abercrombie & fitch",NA,"1","accepted fulltime job","Yes",NA,62500,"Ohio",NA,NA,"abercrombie & fitch"
"Finance","Female","3.50 - 4.00","2020","columbus","l brands","Finance","1","accepted fulltime job","Yes","Yes",62000,"Ohio","39.9622601","-83.0007065","l brands"
"Marketing","Female","3.50 - 4.00","2021","dallas","goldman sachs","Analytics","1","accepted fulltime job","Yes","Yes",52000,"Texas","32.7762719","-96.7968559","goldman sachs"
"Finance","Male","3.50 - 4.00","2019","schaumburg","byline bank","Finance","2","accepted fulltime job","Yes","Yes",52000,"Illinois","42.0333608","-88.083406","byline bank"
"Business Economics","Male","3.50 - 4.00","2021","pittsburgh","pnc bank","Analytics","1","accepted fulltime job","Yes","Yes",65000,"Pennsylvania","40.4416941","-79.9900861","pnc financial services"
"Finance","Male","2.50 - 2.99","2021","cleveland","park place technologies",NA,NA,"accepted fulltime job",NA,NA,NA,"Ohio","41.4996562","-81.6936813","parker hannifin"
